FamilyTypeName,FamilyCategory,TypeDescription,FamilyName,Articule,ApparentLoad,LightFlux,TemperatureColor,PhotometricWeb,"Кп светового потока, %",CRI,"Длина, мм","Ширина, мм","Высота, мм","Масса, кг",IP,Вид клим. исполнения,"Тэксп. мин, °С","Тэксп. макс, °С","Uпит АС мин, В","Uпит АС макс, В","Uпит АС мин, В","Uпит АС макс, В","Коэф. мощности драйвера, ?",FamilyPath
L-industry NEW 12/11/Г60/5.0K,Бытовые,"Светодиодный светильник L-industry 12 предназначен для установки в нежилых помещениях с тяжелыми условиями эксплуатации (высокая влажность, низкая температура, пыль, грязь). Благодаря регулируемому углу настенного крепления, L-industry 12 подходит для локальной подсветки рабочих зон (автосервисы, мастерские и т.д.).",L-office,2.04E+14,11,1455,5000,Г60,?1,72,280,83,110,1,66,УХЛ 2,-60,40,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-trade II 12/15/Д/4.0K,Бытовые,"Многофункциональный светодиодный светильник L-trade II 12 предназначен для освещения промышленных помещений, складов, объектов ЖКХ. Светильник подходит для локальной подсветки рабочих зон (автосервисы, мастерские).",L-office,2.05E+14,15,1650,4000,Д,?1,82,281,50,113,0.5,66,УХЛ 3,-60,40,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-trade II 12/15/Д/4.0K,Бытовые,"Многофункциональный светодиодный светильник L-trade II 12 предназначен для освещения промышленных помещений, складов, объектов ЖКХ. Светильник подходит для локальной подсветки рабочих зон (автосервисы, мастерские).",L-office,2.05E+14,15,1650,4000,Д,?1,82,281,50,113,0.5,66,УХЛ 3,-60,40,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-trade II 12/15/Д/5.0K,Бытовые,"Многофункциональный светодиодный светильник L-trade II 12 предназначен для освещения промышленных помещений, складов, объектов ЖКХ. Светильник подходит для локальной подсветки рабочих зон (автосервисы, мастерские).",L-office,2.05E+14,15,1650,5000,Д,?1,82,281,50,113,0.5,66,УХЛ 3,-60,40,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-trade II 12/15/Д/5.0K,Бытовые,"Многофункциональный светодиодный светильник L-trade II 12 предназначен для освещения промышленных помещений, складов, объектов ЖКХ. Светильник подходит для локальной подсветки рабочих зон (автосервисы, мастерские).",L-office,2.05E+14,15,1650,5000,Д,?1,82,281,50,113,0.5,66,УХЛ 3,-60,40,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-trade 16/15/Д/4.0K Standart,Торговые,"Универсальный светодиодный светильник L-trade 16 Standart предназначен для освещения торговых залов, промышленных помещений, логистических центров, магазинов, спортивных сооружений и т.д.",L-office,3.11E+14,15,1507,4000,Д,?1,85,528,48,56.5,0.9,54,УХЛ 2,-60,40,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-trade 16/15/Д/5.0K Standart,Торговые,"Универсальный светодиодный светильник L-trade 16 Standart предназначен для освещения торговых залов, промышленных помещений, логистических центров, магазинов, спортивных сооружений и т.д.",L-office,3.11E+14,15,1507,5000,Д,?1,85,528,48,56.5,0.9,54,УХЛ 2,-60,40,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-trade 16/15/Д/4.0K Standart Easy Lock,Торговые,"Универсальный светодиодный светильник L-trade 16 Standart предназначен для освещения торговых залов, промышленных помещений, логистических центров, магазинов, спортивных сооружений и т.д.",L-office,3.11E+14,15,1507,4000,Д,?1,85,537,48,56.5,0.9,30,УХЛ 4,1,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-trade 16/15/Д/5.0K Standart Easy Lock,Торговые,"Универсальный светодиодный светильник L-trade 16 Standart предназначен для освещения торговых залов, промышленных помещений, логистических центров, магазинов, спортивных сооружений и т.д.",L-office,3.11E+14,15,1507,5000,Д,?1,85,537,48,56.5,0.9,30,УХЛ 4,1,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-trade 32/30/Д/4.0K Standart,Торговые,"Универсальный светодиодный светильник L-trade 32 Standart предназначен для освещения торговых залов, промышленных помещений, логистических центров, магазинов, спортивных сооружений и т.д.",L-office,3.12E+14,30,3024,4000,Д,?1,85,1028,48,56.5,1.6,54,УХЛ 2,-60,40,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-trade 32/30/Д/5.0K Standart,Торговые,"Универсальный светодиодный светильник L-trade 32 Standart предназначен для освещения торговых залов, промышленных помещений, логистических центров, магазинов, спортивных сооружений и т.д.",L-office,3.12E+14,30,3024,5000,Д,?1,85,1028,48,56.5,1.6,54,УХЛ 2,-60,40,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-trade 32/30/Д/4.0K Standart Easy Lock,Торговые,"Универсальный светодиодный светильник L-trade 32 Standart предназначен для освещения торговых залов, промышленных помещений, логистических центров, магазинов, спортивных сооружений и т.д.",L-office,3.12E+14,30,3024,4000,Д,?1,85,1037,48,56.5,1.6,30,УХЛ 4,1,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-trade 32/30/Д/5.0K Standart Easy Lock,Торговые,"Универсальный светодиодный светильник L-trade 32 Standart предназначен для освещения торговых залов, промышленных помещений, логистических центров, магазинов, спортивных сооружений и т.д.",L-office,3.12E+14,30,3024,5000,Д,?1,85,1037,48,56.5,1.6,30,УХЛ 4,1,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-trade 55/45/Д/4.0K Duris Standart,Торговые,"Светодиодный светильник L-trade 55 Standart предназначен для освещения промышленных помещений, логистических центров, магазинов, спортивных сооружений и т.д.",L-office,3.13E+14,45,4517,4000,Д,?1,85,1528,48,56.5,2.5,54,УХЛ 2,-60,40,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-trade 55/45/Д/5.0K Duris Standart,Торговые,"Светодиодный светильник L-trade 55 Standart предназначен для освещения промышленных помещений, логистических центров, магазинов, спортивных сооружений и т.д.",L-office,3.13E+14,45,4517,5000,Д,?1,85,1528,48,56.5,2.5,54,УХЛ 2,-60,40,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-trade 55/52/Д/4.0K Standart,Торговые,"Светодиодный светильник L-trade 55 Standart предназначен для освещения промышленных помещений, логистических центров, магазинов, спортивных сооружений и т.д.",L-office,3.13E+14,52,4517,4000,Д,?1,72,1528,48,56.5,2.5,54,УХЛ 2,-60,40,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-trade 55/52/Д/5.0K Standart,Торговые,"Светодиодный светильник L-trade 55 Standart предназначен для освещения промышленных помещений, логистических центров, магазинов, спортивных сооружений и т.д.",L-office,3.13E+14,52,4517,5000,Д,?1,72,1528,48,56.5,2.5,54,УХЛ 2,-60,40,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-trade 55/52/К15/4.0K Standart,Торговые,"Светодиодный светильник L-trade 55 Standart предназначен для освещения промышленных помещений, логистических центров, магазинов, спортивных сооружений и т.д.",L-office,3.13E+14,52,5193,4000,К15,?1,72,1528,48,56.5,2.5,64,УХЛ 2,-60,40,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-trade 55/52/К15/5.0K Standart,Торговые,"Светодиодный светильник L-trade 55 Standart предназначен для освещения промышленных помещений, логистических центров, магазинов, спортивных сооружений и т.д.",L-office,3.13E+14,52,5193,5000,К15,?1,72,1528,48,56.5,2.5,64,УХЛ 2,-60,40,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-trade 55/52/Г30/4.0K Standart,Торговые,"Светодиодный светильник L-trade 55 Standart предназначен для освещения промышленных помещений, логистических центров, магазинов, спортивных сооружений и т.д.",L-office,3.13E+14,52,5141,4000,Г30,?1,72,1528,48,56.5,2.5,64,УХЛ 2,-60,40,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-trade 55/52/Г30/5.0K Standart,Торговые,"Светодиодный светильник L-trade 55 Standart предназначен для освещения промышленных помещений, логистических центров, магазинов, спортивных сооружений и т.д.",L-office,3.13E+14,52,5141,5000,Г30,?1,72,1528,48,56.5,2.5,64,УХЛ 2,-60,40,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-trade 55/52/Г60/4.0K Standart,Торговые,"Светодиодный светильник L-trade 55 Standart предназначен для освещения промышленных помещений, логистических центров, магазинов, спортивных сооружений и т.д.",L-office,3.13E+14,52,4851,4000,Г60,?1,72,1528,48,56.5,2.5,64,УХЛ 2,-60,40,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-trade 55/52/Г60/5.0K Standart,Торговые,"Светодиодный светильник L-trade 55 Standart предназначен для освещения промышленных помещений, логистических центров, магазинов, спортивных сооружений и т.д.",L-office,3.13E+14,52,4851,5000,Г60,?1,72,1528,48,56.5,2.5,64,УХЛ 2,-60,40,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-trade 55/45/Д/4.0K Duris Standart Easy Lock,Торговые,"Светодиодный светильник L-trade 55 Standart предназначен для освещения промышленных помещений, логистических центров, магазинов, спортивных сооружений и т.д.",L-office,3.13E+14,45,4517,4000,Д,?1,85,1537,48,56.5,2.5,30,УХЛ 4,1,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-trade 55/45/Д/5.0K Duris Standart Easy Lock,Торговые,"Светодиодный светильник L-trade 55 Standart предназначен для освещения промышленных помещений, логистических центров, магазинов, спортивных сооружений и т.д.",L-office,3.13E+14,45,4517,5000,Д,?1,85,1537,48,56.5,2.5,30,УХЛ 4,1,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-trade 55/52/Д/4.0K Standart Easy Lock,Торговые,"Светодиодный светильник L-trade 55 Standart предназначен для освещения промышленных помещений, логистических центров, магазинов, спортивных сооружений и т.д.",L-office,3.13E+14,52,4851,4000,Д,?1,72,1537,48,56.5,2.5,30,УХЛ 4,1,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-trade 55/52/Д/5.0K Standart Easy Lock,Торговые,"Светодиодный светильник L-trade 55 Standart предназначен для освещения промышленных помещений, логистических центров, магазинов, спортивных сооружений и т.д.",L-office,3.13E+14,52,4851,5000,Д,?1,72,1537,48,56.5,2.5,30,УХЛ 4,1,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-trade 55/52/К15/4.0K Standart Easy Lock,Торговые,"Светодиодный светильник L-trade 55 Standart предназначен для освещения промышленных помещений, логистических центров, магазинов, спортивных сооружений и т.д.",L-office,3.13E+14,52,5193,4000,К15,?1,72,1537,48,56.5,2.5,30,УХЛ 4,1,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-trade 55/52/К15/5.0K Standart Easy Lock,Торговые,"Светодиодный светильник L-trade 55 Standart предназначен для освещения промышленных помещений, логистических центров, магазинов, спортивных сооружений и т.д.",L-office,3.13E+14,52,5193,5000,К15,?1,72,1537,48,56.5,2.5,30,УХЛ 4,1,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-trade 55/52/Г30/4.0K Standart Easy Lock,Торговые,"Светодиодный светильник L-trade 55 Standart предназначен для освещения промышленных помещений, логистических центров, магазинов, спортивных сооружений и т.д.",L-office,3.13E+14,52,5141,4000,Г30,?1,72,1537,48,56.5,2.5,30,УХЛ 4,1,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-trade 55/52/Г30/5.0K Standart Easy Lock,Торговые,"Светодиодный светильник L-trade 55 Standart предназначен для освещения промышленных помещений, логистических центров, магазинов, спортивных сооружений и т.д.",L-office,3.13E+14,52,5141,5000,Г30,?1,72,1537,48,56.5,2.5,30,УХЛ 4,1,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-trade 55/52/Г60/4.0K Standart Easy Lock,Торговые,"Светодиодный светильник L-trade 55 Standart предназначен для освещения промышленных помещений, логистических центров, магазинов, спортивных сооружений и т.д.",L-office,3.13E+14,52,4851,4000,Г60,?1,72,1537,48,56.5,2.5,30,УХЛ 4,1,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-trade 55/52/Г60/5.0K Standart Easy Lock,Торговые,"Светодиодный светильник L-trade 55 Standart предназначен для освещения промышленных помещений, логистических центров, магазинов, спортивных сооружений и т.д.",L-office,3.13E+14,52,4851,5000,Г60,?1,72,1537,48,56.5,2.5,30,УХЛ 4,1,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-trade II 20/22/Д/4.0K Standart,Торговые,"Универсальный светодиодный светильник нового поколения L-trade II 20 предназначен для освещения торговых залов, промышленных помещений, логистических центров, складов, магазинов, спортивных сооружений и т.д.  ",L-office,3.21E+14,22,2574,4000,Д,?1,80,540,66,123,0.8,66,УХЛ 3,-60,40,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-trade II 20/22/Д/4.0K Standart,Торговые,"Универсальный светодиодный светильник нового поколения L-trade II 20 предназначен для освещения торговых залов, промышленных помещений, логистических центров, складов, магазинов, спортивных сооружений и т.д.  ",L-office,3.21E+14,22,2574,4000,Д,?1,80,540,66,123,0.8,66,УХЛ 3,-60,40,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-trade II 20/22/Д/5.0K Standart,Торговые,"Универсальный светодиодный светильник нового поколения L-trade II 20 предназначен для освещения торговых залов, промышленных помещений, логистических центров, складов, магазинов, спортивных сооружений и т.д.  ",L-office,3.21E+14,22,2574,5000,Д,?1,80,540,66,123,0.8,66,УХЛ 3,-60,40,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-trade II 20/22/Д/5.0K Standart,Торговые,"Универсальный светодиодный светильник нового поколения L-trade II 20 предназначен для освещения торговых залов, промышленных помещений, логистических центров, складов, магазинов, спортивных сооружений и т.д.  ",L-office,3.21E+14,22,2574,5000,Д,?1,80,540,66,123,0.8,66,УХЛ 3,-60,40,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-trade II 20/22/К15/4.0K Standart,Торговые,"Универсальный светодиодный светильник нового поколения L-trade II 20 предназначен для освещения торговых залов, промышленных помещений, логистических центров, складов, магазинов, спортивных сооружений и т.д.  ",L-office,3.21E+14,22,2508,4000,К15,?1,72,540,66,123,0.8,66,УХЛ 3,-60,40,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-trade II 20/22/К15/4.0K Standart,Торговые,"Универсальный светодиодный светильник нового поколения L-trade II 20 предназначен для освещения торговых залов, промышленных помещений, логистических центров, складов, магазинов, спортивных сооружений и т.д.  ",L-office,3.21E+14,22,2508,4000,К15,?1,72,540,66,123,0.8,66,УХЛ 3,-60,40,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-trade II 20/22/К15/5.0K Standart,Торговые,"Универсальный светодиодный светильник нового поколения L-trade II 20 предназначен для освещения торговых залов, промышленных помещений, логистических центров, складов, магазинов, спортивных сооружений и т.д.  ",L-office,3.21E+14,22,2508,5000,К15,?1,72,540,66,123,0.8,66,УХЛ 3,-60,40,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-trade II 20/22/К15/5.0K Standart,Торговые,"Универсальный светодиодный светильник нового поколения L-trade II 20 предназначен для освещения торговых залов, промышленных помещений, логистических центров, складов, магазинов, спортивных сооружений и т.д.  ",L-office,3.21E+14,22,2508,5000,К15,?1,72,540,66,123,0.8,66,УХЛ 3,-60,40,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-trade II 20/22/Г30/4.0K Standart,Торговые,"Универсальный светодиодный светильник нового поколения L-trade II 20 предназначен для освещения торговых залов, промышленных помещений, логистических центров, складов, магазинов, спортивных сооружений и т.д.  ",L-office,3.21E+14,22,2516,4000,Г30,?1,72,540,66,123,0.8,66,УХЛ 3,-60,40,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-trade II 20/22/Г30/4.0K Standart,Торговые,"Универсальный светодиодный светильник нового поколения L-trade II 20 предназначен для освещения торговых залов, промышленных помещений, логистических центров, складов, магазинов, спортивных сооружений и т.д.  ",L-office,3.21E+14,22,2516,4000,Г30,?1,72,540,66,123,0.8,66,УХЛ 3,-60,40,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-trade II 20/22/Г30/5.0K Standart,Торговые,"Универсальный светодиодный светильник нового поколения L-trade II 20 предназначен для освещения торговых залов, промышленных помещений, логистических центров, складов, магазинов, спортивных сооружений и т.д.  ",L-office,3.21E+14,22,2516,5000,Г30,?1,72,540,66,123,0.8,66,УХЛ 3,-60,40,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-trade II 20/22/Г30/5.0K Standart,Торговые,"Универсальный светодиодный светильник нового поколения L-trade II 20 предназначен для освещения торговых залов, промышленных помещений, логистических центров, складов, магазинов, спортивных сооружений и т.д.  ",L-office,3.21E+14,22,2516,5000,Г30,?1,72,540,66,123,0.8,66,УХЛ 3,-60,40,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-trade II 20/22/Д/4.0K Standart Easy Lock,Торговые,"Универсальный светодиодный светильник нового поколения L-trade II 20 предназначен для освещения торговых залов, промышленных помещений, логистических центров, складов, магазинов, спортивных сооружений и т.д.  ",L-office,3.21E+14,22,2574,4000,Д,?1,80,647,66,123,0.8,66,УХЛ 3,-60,40,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-trade II 20/22/Д/4.0K Standart Easy Lock,Торговые,"Универсальный светодиодный светильник нового поколения L-trade II 20 предназначен для освещения торговых залов, промышленных помещений, логистических центров, складов, магазинов, спортивных сооружений и т.д.  ",L-office,3.21E+14,22,2574,4000,Д,?1,80,647,66,123,0.8,66,УХЛ 3,-60,40,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-trade II 20/22/Д/5.0K Standart Easy Lock,Торговые,"Универсальный светодиодный светильник нового поколения L-trade II 20 предназначен для освещения торговых залов, промышленных помещений, логистических центров, складов, магазинов, спортивных сооружений и т.д.  ",L-office,3.21E+14,22,2574,5000,Д,?1,80,647,66,123,0.8,66,УХЛ 3,-60,40,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-trade II 20/22/Д/5.0K Standart Easy Lock,Торговые,"Универсальный светодиодный светильник нового поколения L-trade II 20 предназначен для освещения торговых залов, промышленных помещений, логистических центров, складов, магазинов, спортивных сооружений и т.д.  ",L-office,3.21E+14,22,2574,5000,Д,?1,80,647,66,123,0.8,66,УХЛ 3,-60,40,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-trade II 20/22/К15/4.0K Standart Easy Lock,Торговые,"Универсальный светодиодный светильник нового поколения L-trade II 20 предназначен для освещения торговых залов, промышленных помещений, логистических центров, складов, магазинов, спортивных сооружений и т.д.  ",L-office,3.21E+14,22,2508,4000,К15,?1,72,647,66,123,0.8,66,УХЛ 3,-60,40,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-trade II 20/22/К15/4.0K Standart Easy Lock,Торговые,"Универсальный светодиодный светильник нового поколения L-trade II 20 предназначен для освещения торговых залов, промышленных помещений, логистических центров, складов, магазинов, спортивных сооружений и т.д.  ",L-office,3.21E+14,22,2508,4000,К15,?1,72,647,66,123,0.8,66,УХЛ 3,-60,40,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-trade II 20/22/К15/5.0K Standart Easy Lock,Торговые,"Универсальный светодиодный светильник нового поколения L-trade II 20 предназначен для освещения торговых залов, промышленных помещений, логистических центров, складов, магазинов, спортивных сооружений и т.д.  ",L-office,3.21E+14,22,2508,5000,К15,?1,72,647,66,123,0.8,66,УХЛ 3,-60,40,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-trade II 20/22/К15/5.0K Standart Easy Lock,Торговые,"Универсальный светодиодный светильник нового поколения L-trade II 20 предназначен для освещения торговых залов, промышленных помещений, логистических центров, складов, магазинов, спортивных сооружений и т.д.  ",L-office,3.21E+14,22,2508,5000,К15,?1,72,647,66,123,0.8,66,УХЛ 3,-60,40,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-trade II 20/22/Г30/4.0K Standart Easy Lock,Торговые,"Универсальный светодиодный светильник нового поколения L-trade II 20 предназначен для освещения торговых залов, промышленных помещений, логистических центров, складов, магазинов, спортивных сооружений и т.д.  ",L-office,3.21E+14,22,2516,4000,Г30,?1,72,647,66,123,0.8,66,УХЛ 3,-60,40,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-trade II 20/22/Г30/4.0K Standart Easy Lock,Торговые,"Универсальный светодиодный светильник нового поколения L-trade II 20 предназначен для освещения торговых залов, промышленных помещений, логистических центров, складов, магазинов, спортивных сооружений и т.д.  ",L-office,3.21E+14,22,2516,4000,Г30,?1,72,647,66,123,0.8,66,УХЛ 3,-60,40,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-trade II 20/22/Г30/5.0K Standart Easy Lock,Торговые,"Универсальный светодиодный светильник нового поколения L-trade II 20 предназначен для освещения торговых залов, промышленных помещений, логистических центров, складов, магазинов, спортивных сооружений и т.д.  ",L-office,3.21E+14,22,2516,5000,Г30,?1,72,647,66,123,0.8,66,УХЛ 3,-60,40,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-trade II 20/22/Г30/5.0K Standart Easy Lock,Торговые,"Универсальный светодиодный светильник нового поколения L-trade II 20 предназначен для освещения торговых залов, промышленных помещений, логистических центров, складов, магазинов, спортивных сооружений и т.д.  ",L-office,3.21E+14,22,2516,5000,Г30,?1,72,647,66,123,0.8,66,УХЛ 3,-60,40,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-trade II 45/44/Д/4.0K Standart,Торговые,"Универсальный светодиодный светильник нового поколения L-trade II 45 предназначен для освещения торговых залов, промышленных помещений, логистических центров, складов, магазинов, спортивных сооружений и т.д.",L-office,3.22E+14,44,5148,4000,Д,?1,80,1040,66,123,1.3,66,УХЛ 3,-60,40,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-trade II 45/44/Д/4.0K Standart,Торговые,"Универсальный светодиодный светильник нового поколения L-trade II 45 предназначен для освещения торговых залов, промышленных помещений, логистических центров, складов, магазинов, спортивных сооружений и т.д.",L-office,3.22E+14,44,5148,4000,Д,?1,80,1040,66,123,1.3,66,УХЛ 3,-60,40,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-trade II 45/44/Д/5.0K Standart,Торговые,"Универсальный светодиодный светильник нового поколения L-trade II 45 предназначен для освещения торговых залов, промышленных помещений, логистических центров, складов, магазинов, спортивных сооружений и т.д.",L-office,3.22E+14,44,5148,5000,Д,?1,80,1040,66,123,1.3,66,УХЛ 3,-60,40,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-trade II 45/44/Д/5.0K Standart,Торговые,"Универсальный светодиодный светильник нового поколения L-trade II 45 предназначен для освещения торговых залов, промышленных помещений, логистических центров, складов, магазинов, спортивных сооружений и т.д.",L-office,3.22E+14,44,5148,5000,Д,?1,80,1040,66,123,1.3,66,УХЛ 3,-60,40,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-trade II 45/44/К15/4.0K Standart,Торговые,"Универсальный светодиодный светильник нового поколения L-trade II 45 предназначен для освещения торговых залов, промышленных помещений, логистических центров, складов, магазинов, спортивных сооружений и т.д.",L-office,3.22E+14,44,5017,4000,К15,?1,72,1040,66,123,1.3,66,УХЛ 3,-60,40,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-trade II 45/44/К15/4.0K Standart,Торговые,"Универсальный светодиодный светильник нового поколения L-trade II 45 предназначен для освещения торговых залов, промышленных помещений, логистических центров, складов, магазинов, спортивных сооружений и т.д.",L-office,3.22E+14,44,5017,4000,К15,?1,72,1040,66,123,1.3,66,УХЛ 3,-60,40,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
